"","locID","pnldep","mesh","fishID","sex","age","len","wgt"
"1","Deer Park",36.74,2.5,19108,NA,NA,316,400
"2","Deer Park",40.09,3,19109,NA,NA,396,700
"3","Deer Park",41.46,5,19110,"M",NA,590,1800
"4","Deer Park",41.46,5,19111,"M",NA,516,1500
"5","Deer Park",43.45,5.5,19112,NA,NA,414,800
"6","Deer Park",45.58,4,19113,"M",NA,481,1000
"7","Deer Park",45.58,4,19114,NA,NA,600,2500
"8","Deer Park",45.58,4,19115,NA,NA,494,1100
"9","Deer Park",45.58,4,19116,NA,NA,545,1600
"10","Deer Park",47.26,4.5,19117,"F",NA,522,1500
"11","Deer Park",48.78,3.5,19118,"F",NA,465,900
"12","Deer Park",48.78,3.5,19119,"F",NA,520,1300
"13","Deer Park",48.78,3.5,19120,"F",NA,441,900
"14","Deer Park",48.78,3.5,19121,"M",NA,527,1600
"15","Deer Park",48.78,3.5,19122,"F",NA,554,1900
"16","Deer Park",48.78,3.5,19123,"F",NA,604,2500
"17","Deer Park",49.85,2,19124,"M",NA,442,700
"18","Deer Park",49.85,2,19125,NA,NA,695,2000
"19","Deer Park",52.29,2.5,19126,NA,NA,348,500
"20","Deer Park",52.29,2.5,19127,"F",NA,455,900
"21","Deer Park",52.29,2.5,19128,NA,NA,309,400
"22","Deer Park",54.27,3.5,19129,"M",NA,479,1300
"23","Deer Park",54.27,3.5,19130,"F",NA,451,1100
"24","Deer Park",54.27,3.5,19131,"M",NA,533,1200
"25","Deer Park",54.27,3.5,19132,"M",NA,546,1900
"26","Deer Park",54.27,3.5,19133,"M",NA,490,1300
"27","Deer Park",55.64,3,19134,"F",NA,375,500
"28","Deer Park",55.64,3,19135,"M",NA,379,600
"29","Deer Park",55.64,3,19136,"M",NA,516,1500
"30","Deer Park",55.64,3,19137,"M",NA,380,500
"31","Deer Park",55.64,3,19138,"M",NA,360,400
"32","Deer Park",55.64,3,19139,"M",NA,397,600
"33","Deer Park",55.64,3,19140,NA,NA,550,1700
"34","Deer Park",55.64,3,19141,NA,NA,366,900
"35","Deer Park",55.64,3,19142,NA,NA,575,2000
"36","Deer Park",56.55,2,19143,"F",NA,472,900
"37","Deer Park",56.55,2,19144,"M",NA,410,700
"38","Deer Park",56.55,2,19145,"F",NA,492,1100
"39","Deer Park",56.55,2,19146,"M",NA,440,900
"40","Deer Park",56.55,2,19147,NA,NA,340,400
"41","Deer Park",56.55,2,19148,NA,NA,254,200
"42","Deer Park",56.55,2,19149,"M",NA,541,1500
"43","Deer Park",59.6,4,19150,"M",NA,467,1100
"44","Deer Park",59.6,4,19151,"F",NA,484,1200
"45","Deer Park",61.59,2,19152,NA,NA,250,200
"46","Deer Park",61.59,2,19153,NA,NA,240,200
"47","Deer Park",61.59,2,19154,"M",NA,326,400
"48","Deer Park",61.59,2,19155,"F",NA,556,1700
"49","Deer Park",64.48,2.5,19156,NA,NA,338,400
"50","Deer Park",64.48,2.5,19157,"M",NA,511,1100
"51","Deer Park",64.48,2.5,19158,"M",NA,420,700
"52","Deer Park",64.48,2.5,19159,"M",NA,530,1300
"53","Deer Park",64.48,2.5,19160,"F",NA,515,1300
"54","Deer Park",66.31,4,19161,"M",NA,515,1400
"55","Deer Park",66.31,4,19162,"M",NA,478,1100
"56","Deer Park",66.31,4,19163,"F",NA,615,2600
"57","Deer Park",66.31,4,19164,"F",NA,452,900
"58","Deer Park",66.31,4,19165,"F",NA,491,1200
"59","Deer Park",66.92,3,19166,NA,NA,606,2400
